"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"83",83,"PT. Blang Ponte Tours & Travel","BLANG PONTE TOURS","Gedung Daniprisma Lt.2, Jl. Sultan Hasanuddin No. 47-48, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12160",NA,"https://himpuh.or.id/daftar-anggota/detail/219/pt-blang-ponte-tours-travel"
"84",84,"PT. Blocking Ticket Center","Al A'raf Travel","Jl. Buncit Raya No. 10.c Pejaten Pasar Minggu, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",NA,"https://himpuh.or.id/daftar-anggota/detail/221/pt-blocking-ticket-center"
"85",85,"PT. Bobinsa Surabaya Jaya","Bobinsa Tour","Jl. Basuki Rahmat No. 12, Cipinang Muara, Tebet, Jakarta Selatan, DKI Jakarta, 12840",NA,"https://himpuh.or.id/daftar-anggota/detail/359/pt-bobinsa-surabaya-jaya"
"86",86,"PT. Bpw Alhaadi Ziarah Andalas","AZA Tour","Jl. Jenderal Sudirman No. 18 A Rt. 02/vi, Abiansemal, Badung, Bali, 0",NA,"https://himpuh.or.id/daftar-anggota/detail/289/pt-bpw-alhaadi-ziarah-andalas"
"87",87,"PT. BPW Rezki International Indonesia","Simply Travel","Jl. Lingkar Palem Semi Ruko CBD Palem Semi No. 11, Balaraja, Tangerang, Banten, 15139",NA,"https://himpuh.or.id/daftar-anggota/detail/339/pt-bpw-rezki-international-indonesia"
"88",88,"PT. Bpw Riyal Tunggal","RAGATOURS","Jl. A. Yani Km. 4,700 No. 407 Kebun Bunga Banjarmasin Timur, Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, 70235",NA,"https://himpuh.or.id/daftar-anggota/detail/63/pt-bpw-riyal-tunggal"
"89",89,"PT. Bumi Nata Wisata","BUMI NATA WISATA","Jl. Tukad Pakerisan No. 68, Denpasar Selatan, Denpasar, Bali, 80225",NA,"https://himpuh.or.id/daftar-anggota/detail/291/pt-bumi-nata-wisata"
"90",90,"PT. Cahaya Anugrah Al Mawadah","INTANAYA HAJI UMRAH","Jl. Puri Jambangan Baru Iii No.8, Jambangan, Jambangan, Surabaya, Jawa Timur, 60232",NA,"https://himpuh.or.id/daftar-anggota/detail/274/pt-cahaya-anugrah-al-mawadah"
"91",91,"PT. Cahaya Cordoba Utama","CORMA","Jl. Komplek Surapati Core Blok. Anggrek Boulevard No. 35 Rt. 004/001, Cibeunying Kidul, Bandung, Jawa Barat, 40214",NA,"https://himpuh.or.id/daftar-anggota/detail/335/pt-cahaya-cordoba-utama"
"92",92,"PT. Cahaya Selaras Sejati","CAHAYA SEJATI TOUR","Rukko Sastra Plaza Blok A No. 17, Jl. Gatot Subroto Km 5,4, Balaraja, Tangerang, Banten, 15134",NA,"https://himpuh.or.id/daftar-anggota/detail/303/pt-cahaya-selaras-sejati"
